+------+-------+-----+--------------------+----------------+--------+-----------+-----------+----------+
| bits | alpha |  c  | run time (seconds) | avg. red. time | trials | not short | **found** | repeated |
|  24  |  1.9  | 1.2 |       44.68        |     0.2954     |  151   |    0.62   |    0.32   |   0.07   |
|  24  |  1.9  | 1.3 |       51.64        |     0.2963     |  174   |    0.7    |    0.28   |   0.03   |
|  24  |  1.9  | 1.4 |       52.33        |     0.2951     |  177   |    0.72   |    0.27   |   0.01   |
|      |       |     |                    |                |        |           |           |          |
|  26  |  1.6  | 1.0 |       25.09        |     0.0831     |  301   |    0.76   |    0.09   |   0.15   |
|  26  |  1.6  | 1.1 |       24.79        |     0.083      |  298   |    0.76   |    0.09   |   0.16   |
|  26  |  1.6  | 1.2 |       18.76        |     0.0835     |  224   |    0.6    |    0.12   |   0.28   |
|  26  |  1.6  | 1.3 |       43.79        |     0.0822     |  531   |    0.61   |    0.05   |   0.34   |
|  26  |  1.6  | 1.4 |       75.87        |     0.081      |  934   |    0.7    |    0.03   |   0.28   |
|  26  |  1.7  | 1.0 |       15.75        |     0.1308     |  120   |    0.5    |    0.27   |   0.23   |
|  26  |  1.7  | 1.1 |       26.47        |     0.1282     |  206   |    0.7    |    0.16   |   0.14   |
|  26  |  1.7  | 1.2 |       21.64        |     0.1292     |  167   |    0.66   |    0.19   |   0.14   |
|  26  |  1.7  | 1.3 |       23.42        |     0.1297     |  180   |    0.64   |    0.18   |   0.18   |
|  26  |  1.7  | 1.4 |       39.56        |     0.1277     |  309   |    0.67   |    0.1    |   0.23   |
|  26  |  1.8  | 1.0 |       26.64        |     0.1954     |  136   |    0.59   |    0.29   |   0.12   |
|  26  |  1.8  | 1.1 |       31.03        |     0.1935     |  160   |    0.64   |    0.24   |   0.11   |
|  26  |  1.8  | 1.2 |       22.09        |     0.195      |  113   |    0.6    |    0.35   |   0.05   |
|  26  |  1.8  | 1.3 |       28.96        |     0.1952     |  148   |    0.7    |    0.26   |   0.04   |
|  26  |  1.8  | 1.4 |       34.98        |     0.1928     |  181   |    0.69   |    0.22   |   0.09   |
|  26  |  1.9  | 1.0 |       44.49        |     0.3084     |  144   |    0.51   |    0.34   |   0.15   |
|  26  |  1.9  | 1.1 |        46.9        |     0.3079     |  152   |    0.61   |    0.32   |   0.07   |
|  26  |  1.9  | 1.2 |       45.54        |     0.3071     |  148   |    0.66   |    0.33   |   0.01   |
|  26  |  1.9  | 1.3 |       56.71        |     0.306      |  185   |    0.7    |    0.26   |   0.04   |
|  26  |  1.9  | 1.4 |       55.18        |     0.3078     |  179   |    0.7    |    0.27   |   0.03   |
|      |       |     |                    |                |        |           |           |          |
|  28  |  1.6  | 1.0 |       62.95        |     0.1172     |  536   |    0.77   |    0.06   |   0.18   |
|  28  |  1.6  | 1.1 |       54.05        |     0.1175     |  459   |    0.73   |    0.07   |   0.21   |
|  28  |  1.6  | 1.2 |       41.68        |     0.1178     |  353   |    0.74   |    0.09   |   0.17   |
|  28  |  1.6  | 1.3 |        50.3        |     0.1172     |  428   |    0.86   |    0.07   |   0.07   |
|  28  |  1.6  | 1.4 |       76.94        |     0.1188     |  646   |    0.89   |    0.05   |   0.07   |
|  28  |  1.7  | 1.0 |       43.13        |     0.1715     |  251   |    0.75   |    0.15   |   0.1    |
|  28  |  1.7  | 1.1 |       35.56        |     0.1731     |  205   |    0.77   |    0.18   |   0.05   |
|  28  |  1.7  | 1.2 |       45.43        |     0.1717     |  264   |    0.77   |    0.14   |   0.09   |
|  28  |  1.7  | 1.3 |       57.59        |     0.171      |  336   |    0.82   |    0.11   |   0.07   |
|  28  |  1.7  | 1.4 |       61.27        |     0.1662     |  368   |    0.88   |    0.1    |   0.02   |
|  28  |  1.8  | 1.0 |        61.8        |     0.2843     |  217   |    0.71   |    0.22   |   0.07   |
|  28  |  1.8  | 1.1 |       58.81        |     0.2823     |  208   |    0.73   |    0.23   |   0.04   |
|  28  |  1.8  | 1.2 |       56.93        |     0.2855     |  199   |    0.72   |    0.24   |   0.04   |
