+------+-------+------+--------------------+----------------+--------+-----------+-----------+----------+
| bits | alpha |  c   | run time (seconds) | avg. red. time | trials | not short | **found** | repeated |
|  28  |  1.8  | 1.15 |       50.07        |     0.2589     |  193   |    0.75   |    0.23   |   0.02   |
|  28  |  1.8  | 1.2  |       56.14        |     0.2583     |  217   |    0.77   |    0.21   |   0.02   |
|  28  |  1.8  | 1.25 |       65.99        |     0.2564     |  257   |    0.81   |    0.18   |   0.02   |
|      |       |      |                    |                |        |           |           |          |
|  30  |  1.6  | 1.1  |       53.88        |     0.1274     |  422   |    0.84   |    0.08   |   0.08   |
|  30  |  1.6  | 1.15 |       66.11        |     0.1257     |  525   |    0.84   |    0.06   |   0.1    |
|  30  |  1.6  | 1.2  |       62.99        |     0.1257     |  500   |    0.86   |    0.06   |   0.07   |
|  30  |  1.6  | 1.25 |       82.67        |     0.1271     |  649   |    0.87   |    0.05   |   0.08   |
|  30  |  1.7  | 1.1  |       75.76        |     0.2007     |  377   |    0.84   |    0.11   |   0.05   |
|  30  |  1.7  | 1.15 |       66.24        |     0.2004     |  330   |    0.84   |    0.12   |   0.04   |
|  30  |  1.7  | 1.2  |       58.59        |     0.2024     |  289   |    0.82   |    0.14   |   0.04   |
|  30  |  1.7  | 1.25 |       85.97        |     0.2078     |  413   |    0.87   |    0.1    |   0.04   |
|  30  |  1.8  | 1.1  |       93.16        |     0.3051     |  305   |    0.81   |    0.16   |   0.03   |
|  30  |  1.8  | 1.15 |       96.69        |     0.3044     |  317   |    0.82   |    0.15   |   0.02   |
|  30  |  1.8  | 1.2  |       131.16       |     0.3053     |  429   |    0.88   |    0.11   |   0.01   |
|  30  |  1.8  | 1.25 |       123.17       |     0.3084     |  399   |    0.87   |    0.12   |   0.01   |
|      |       |      |                    |                |        |           |           |          |
+------+-------+------+--------------------+----------------+--------+-----------+-----------+----------+
